Financial Summary,Appropriated,Adjustment,Allocation,agency
TOTAL - ALL FUNDS,"3,201,093","-175,523","3,025,570",ELECTIONS ENFORCEMENT COMMISSION
GENERAL FUND,,,,OFFICE OF STATE ETHICS
Information Technology Initiatives,"29,098",-872,"28,226",OFFICE OF STATE ETHICS
Office of State Ethics,"1,389,227","-15,698","1,373,529",OFFICE OF STATE ETHICS
TOTAL-General Fund,"1,418,325","-16,570","1,401,755",OFFICE OF STATE ETHICS
TOTAL - ALL FUNDS,"1,418,325","-16,570","1,401,755",OFFICE OF STATE ETHICS
GENERAL FUND,,,,FREEDOM OF INFORMATION COMMISSION
Freedom of Information Commission,"1,481,416","-17,940","1,463,476",FREEDOM OF INFORMATION COMMISSION
TOTAL-General Fund,"1,481,416","-17,940","1,463,476",FREEDOM OF INFORMATION COMMISSION
TOTAL - ALL FUNDS,"1,481,416","-17,940","1,463,476",FREEDOM OF INFORMATION COMMISSION
GENERAL FUND,,,,STATE TREASURER
Personal Services,"3,034,513","-196,035","2,838,478",STATE TREASURER
Other Expenses,"143,722","-54,736","88,986",STATE TREASURER
TOTAL-General Fund,"3,178,235","-250,771","2,927,464",STATE TREASURER
TOTAL - ALL FUNDS,"3,178,235","-250,771","2,927,464",STATE TREASURER
GENERAL FUND,,,,STATE COMPTROLLER
Personal Services,"23,464,017","-888,920","22,575,097",STATE COMPTROLLER
Other Expenses,"4,746,238","-22,384","4,723,854",STATE COMPTROLLER
TOTAL-General Fund,"28,210,255","-911,304","27,298,951",STATE COMPTROLLER
TOTAL - ALL FUNDS,"28,210,255","-911,304","27,298,951",STATE COMPTROLLER
GENERAL FUND,,,,DEPARTMENT OF REVENUE SERVICES
Personal Services,"57,419,820","-5,282,755","52,137,065",DEPARTMENT OF REVENUE SERVICES
Other Expenses,"6,776,492","-930,922","5,845,570",DEPARTMENT OF REVENUE SERVICES
TOTAL-General Fund,"64,196,312","-6,213,677","57,982,635",DEPARTMENT OF REVENUE SERVICES
TOTAL - ALL FUNDS,"64,196,312","-6,213,677","57,982,635",DEPARTMENT OF REVENUE SERVICES
GENERAL FUND,,,,OFFICE OF GOVERNMENTAL ACCOUNTABILITY
Other Expenses,"50,045","-15,827","34,218",OFFICE OF GOVERNMENTAL ACCOUNTABILITY
Child Fatality Review Panel,"97,663","-2,929","94,734",OFFICE OF GOVERNMENTAL ACCOUNTABILITY
Contracting Standards Board,"274,435","-115,941","158,494",OFFICE OF GOVERNMENTAL ACCOUNTABILITY
Judicial Review Council,"135,335","-10,826","124,509",OFFICE OF GOVERNMENTAL ACCOUNTABILITY
Judicial Selection Commission,"84,636","-2,539","82,097",OFFICE OF GOVERNMENTAL ACCOUNTABILITY
Office of the Child Advocate,"649,545","-19,486","630,059",OFFICE OF GOVERNMENTAL ACCOUNTABILITY
Office of the Victim Advocate,"421,421","-33,713","387,708",OFFICE OF GOVERNMENTAL ACCOUNTABILITY
Board of Firearms Permit Examiners,"116,774","-9,340","107,434",OFFICE OF GOVERNMENTAL ACCOUNTABILITY
TOTAL-General Fund,"1,829,854","-210,601","1,619,253",OFFICE OF GOVERNMENTAL ACCOUNTABILITY
TOTAL - ALL FUNDS,"1,829,854","-210,601","1,619,253",OFFICE OF GOVERNMENTAL ACCOUNTABILITY
GENERAL FUND,,,,OFFICE OF POLICY AND MANAGEMENT
Personal Services,"11,390,132","-1,120,569","10,269,563",OFFICE OF POLICY AND MANAGEMENT
Other Expenses,"923,822","-137,551","786,271",OFFICE OF POLICY AND MANAGEMENT
Automated Budget System and Data Base Link,"40,894","-40,894",0,OFFICE OF POLICY AND MANAGEMENT
Justice Assistance Grants,"938,648","-880,559","58,089",OFFICE OF POLICY AND MANAGEMENT
Criminal Justice Information System,"920,048","1,472,792","2,392,840",OFFICE OF POLICY AND MANAGEMENT
Project Longevity,"885,000","-885,000",0,OFFICE OF POLICY AND MANAGEMENT
Tax Relief For Elderly Renters,"27,300,000","-27,300,000",0,OFFICE OF POLICY AND MANAGEMENT
Reimbursement to Towns for Loss of Taxes on State Property,"66,730,441","-66,730,441",0,OFFICE OF POLICY AND MANAGEMENT
Reimbursements to Towns for Private Tax-Exempt Property,"114,950,770","-114,950,770",0,OFFICE OF POLICY AND MANAGEMENT
Reimbursement Property Tax - Disability Exemption,"374,065","-374,065",0,OFFICE OF POLICY AND MANAGEMENT
Distressed Municipalities,"5,423,986","-5,423,986",0,OFFICE OF POLICY AND MANAGEMENT
Property Tax Relief Elderly Circuit Breaker,"19,176,502","-19,176,502",0,OFFICE OF POLICY AND MANAGEMENT
Property Tax Relief Elderly Freeze Program,"112,221","-112,221",0,OFFICE OF POLICY AND MANAGEMENT
Property Tax Relief for Veterans,"2,777,546","-2,777,546",0,OFFICE OF POLICY AND MANAGEMENT
TOTAL-General Fund,"251,944,075","-238,437,312","13,506,763",OFFICE OF POLICY AND MANAGEMENT
MUNICIPAL REVENUE SHARING,,,,OFFICE OF POLICY AND MANAGEMENT
Municipal Revenue Sharing,"185,000,000","-185,000,000",0,OFFICE OF POLICY AND MANAGEMENT
TOTAL-Municipal Revenue Sharing,"185,000,000","-185,000,000",0,OFFICE OF POLICY AND MANAGEMENT
INSURANCE FUND,,,,OFFICE OF POLICY AND MANAGEMENT
Personal Services,"313,882",0,"313,882",OFFICE OF POLICY AND MANAGEMENT
Other Expenses,"6,012",0,"6,012",OFFICE OF POLICY AND MANAGEMENT
Fringe Benefits,"200,882",0,"200,882",OFFICE OF POLICY AND MANAGEMENT
TOTAL-Insurance Fund,"520,776",0,"520,776",OFFICE OF POLICY AND MANAGEMENT
MASHANTUCKET PEQUOT AND MOHEGAN FUND,,,,OFFICE OF POLICY AND MANAGEMENT
Grants To Towns,"58,076,612","-58,076,612",0,OFFICE OF POLICY AND MANAGEMENT
TOTAL-Mashantucket Pequot and Mohegan Fund,"58,076,612","-58,076,612",0,OFFICE OF POLICY AND MANAGEMENT
TOTAL - ALL FUNDS,"495,541,463","-481,513,924","14,027,539",OFFICE OF POLICY AND MANAGEMENT
GENERAL FUND,,,,DEPARTMENT OF VETERANS AFFAIRS
Personal Services,"21,375,366","-1,461,171","19,914,195",DEPARTMENT OF VETERANS AFFAIRS
Other Expenses,"3,150,761","-167,420","2,983,341",DEPARTMENT OF VETERANS AFFAIRS
SSMF Administration,"527,104","-5,271","521,833",DEPARTMENT OF VETERANS AFFAIRS
Burial Expenses,"6,666",-199,"6,467",DEPARTMENT OF VETERANS AFFAIRS
Headstones,"307,834","-57,834","250,000",DEPARTMENT OF VETERANS AFFAIRS
TOTAL-General Fund,"25,367,731","-1,691,895","23,675,836",DEPARTMENT OF VETERANS AFFAIRS
TOTAL - ALL FUNDS,"25,367,731","-1,691,895","23,675,836",DEPARTMENT OF VETERANS AFFAIRS
GENERAL FUND,,,,DEPARTMENT OF ADMINISTRATIVE SERVICES
Personal Services,"49,794,514","-5,293,454","44,501,060",DEPARTMENT OF ADMINISTRATIVE SERVICES
Other Expenses,"30,154,345","-6,841,090","23,313,255",DEPARTMENT OF ADMINISTRATIVE SERVICES
Management Services,"3,089,993","-17,199","3,072,794",DEPARTMENT OF ADMINISTRATIVE SERVICES
Loss Control Risk Management,"102,927","-10,293","92,634",DEPARTMENT OF ADMINISTRATIVE SERVICES
Employees' Review Board,"18,155",-544,"17,611",DEPARTMENT OF ADMINISTRATIVE SERVICES
Surety Bonds for State Officials and Employees,"65,026",923,"65,949",DEPARTMENT OF ADMINISTRATIVE SERVICES
Refunds Of Collections,"22,116",-663,"21,453",DEPARTMENT OF ADMINISTRATIVE SERVICES
Rents and Moving,"10,421,930","38,762","10,460,692",DEPARTMENT OF ADMINISTRATIVE SERVICES
W. C. Administrator,"4,480,774","519,226","5,000,000",DEPARTMENT OF ADMINISTRATIVE SERVICES
Connecticut Education Network,"1,100,000","-623,546","476,454",DEPARTMENT OF ADMINISTRATIVE SERVICES
State Insurance and Risk Mgmt Operations,"13,585,462","-1,292,637","12,292,825",DEPARTMENT OF ADMINISTRATIVE SERVICES
IT Services,"13,200,415","-901,401","12,299,014",DEPARTMENT OF ADMINISTRATIVE SERVICES
TOTAL-General Fund,"126,035,657","-14,421,916","111,613,741",DEPARTMENT OF ADMINISTRATIVE SERVICES
SPECIAL TRANSPORTATION FUND,,,,DEPARTMENT OF ADMINISTRATIVE SERVICES
State Insurance and Risk Mgmt Operations,"8,960,575","177,665","9,138,240",DEPARTMENT OF ADMINISTRATIVE SERVICES
TOTAL-Special Transportation Fund,"8,960,575","177,665","9,138,240",DEPARTMENT OF ADMINISTRATIVE SERVICES
TOTAL - ALL FUNDS,"134,996,232","-14,244,251","120,751,981",DEPARTMENT OF ADMINISTRATIVE SERVICES
GENERAL FUND,,,,DEPARTMENT OF ADMINISTRATIVE SERVICES
Personal Services,"31,369,385","-1,546,081","29,823,304",DEPARTMENT OF ADMINISTRATIVE SERVICES
Other Expenses,"998,871","-104,908","893,963",DEPARTMENT OF ADMINISTRATIVE SERVICES
TOTAL-General Fund,"32,368,256","-1,650,989","30,717,267",DEPARTMENT OF ADMINISTRATIVE SERVICES
TOTAL - ALL FUNDS,"32,368,256","-1,650,989","30,717,267",DEPARTMENT OF ADMINISTRATIVE SERVICES
GENERAL FUND,,,,DIVISION OF CRIMINAL JUSTICE
Personal Services,"45,296,055","-2,400,000","42,896,055",DIVISION OF CRIMINAL JUSTICE
Other Expenses,"2,359,373","-343,593","2,015,780",DIVISION OF CRIMINAL JUSTICE
Witness Protection,"165,806","-1,658","164,148",DIVISION OF CRIMINAL JUSTICE
Training And Education,"52,044","-22,044","30,000",DIVISION OF CRIMINAL JUSTICE
Expert Witnesses,"191,757","-46,757","145,000",DIVISION OF CRIMINAL JUSTICE
Medicaid Fraud Control,"1,107,897","-151,078","956,819",DIVISION OF CRIMINAL JUSTICE
Criminal Justice Commission,444,-13,431,DIVISION OF CRIMINAL JUSTICE
Cold Case Unit,"240,619","-55,406","185,213",DIVISION OF CRIMINAL JUSTICE
Shooting Taskforce,"1,044,948","-235,449","809,499",DIVISION OF CRIMINAL JUSTICE
TOTAL-General Fund,"50,458,943","-3,255,998","47,202,945",DIVISION OF CRIMINAL JUSTICE
WORKERS' COMPENSATION FUND,,,,DIVISION OF CRIMINAL JUSTICE
Personal Services,"405,969","-36,000","369,969",DIVISION OF CRIMINAL JUSTICE
Other Expenses,"10,428",0,"10,428",DIVISION OF CRIMINAL JUSTICE
Fringe Benefits,"339,273","-33,000","306,273",DIVISION OF CRIMINAL JUSTICE
TOTAL-Workers' Compensation Fund,"755,670","-69,000","686,670",DIVISION OF CRIMINAL JUSTICE
TOTAL - ALL FUNDS,"51,214,613","-3,324,998","47,889,615",DIVISION OF CRIMINAL JUSTICE
GENERAL FUND,,,,PROTECTION
Personal Services,"136,557,561","7,094,209","143,651,770",PROTECTION
Other Expenses,"26,275,160","1,223,689","27,498,849",PROTECTION
Equipment,"86,580","-86,580",0,PROTECTION
Stress Reduction,"25,354",0,"25,354",PROTECTION
Fleet Purchase,"6,394,806","-191,844","6,202,962",PROTECTION
Workers' Compensation Claims,"4,293,814","248,148","4,541,962",PROTECTION
Fire Training School - Willimantic,"76,900","-76,900",0,PROTECTION
Maintenance of County Base Fire Radio Network,"22,368","-22,368",0,PROTECTION
Maintenance of State-Wide Fire Radio Network,"14,887","-14,887",0,PROTECTION
Police Association of Connecticut,"177,683","-5,330","172,353",PROTECTION
Connecticut State Firefighter's Association,"182,087","-5,462","176,625",PROTECTION
Fire Training School - Torrington,"46,150","-46,150",0,PROTECTION
Fire Training School - New Haven,"30,000","-30,000",0,PROTECTION
Fire Training School - Derby,"23,100","-23,100",0,PROTECTION
Fire Training School - Wolcott,"53,830","-53,830",0,PROTECTION
Fire Training School - Fairfield,"37,700","-37,700",0,PROTECTION
Fire Training School - Hartford,"76,900","-76,900",0,PROTECTION
Fire Training School - Middletown,"23,100","-23,100",0,PROTECTION
Fire Training School - Stamford,"22,320","-22,320",0,PROTECTION
TOTAL-General Fund,"174,420,300","7,849,575","182,269,875",PROTECTION
TOTAL - ALL FUNDS,"174,420,300","7,849,575","182,269,875",PROTECTION
SPECIAL TRANSPORTATION FUND,,,,DEPARTMENT OF MOTOR VEHICLES
Personal Services,"49,296,260","1,130,076","50,426,336",DEPARTMENT OF MOTOR VEHICLES
Other Expenses,"15,897,378",0,"15,897,378",DEPARTMENT OF MOTOR VEHICLES
Equipment,"468,756",0,"468,756",DEPARTMENT OF MOTOR VEHICLES
Commercial Vehicle Information Systems and Networks Project,"214,676",0,"214,676",DEPARTMENT OF MOTOR VEHICLES
TOTAL-Special Transportation Fund,"65,877,070","1,130,076","67,007,146",DEPARTMENT OF MOTOR VEHICLES
TOTAL - ALL FUNDS,"65,877,070","1,130,076","67,007,146",DEPARTMENT OF MOTOR VEHICLES
GENERAL FUND,,,,MILITARY DEPARTMENT
Personal Services,"2,863,407","-218,455","2,644,952",MILITARY DEPARTMENT
Other Expenses,"2,242,356","-236,261","2,006,095",MILITARY DEPARTMENT
Honor Guard,"326,329","-326,329",0,MILITARY DEPARTMENT
Veteran's Service Bonuses,"46,759","46,574","93,333",MILITARY DEPARTMENT
TOTAL-General Fund,"5,478,851","-734,471","4,744,380",MILITARY DEPARTMENT
TOTAL - ALL FUNDS,"5,478,851","-734,471","4,744,380",MILITARY DEPARTMENT
BANKING FUND,,,,DEPARTMENT OF BANKING
Personal Services,"11,025,073","-26,151","10,998,922",DEPARTMENT OF BANKING
Other Expenses,"1,468,990","9,400","1,478,390",DEPARTMENT OF BANKING
Equipment,"44,900",0,"44,900",DEPARTMENT OF BANKING
Fringe Benefits,"8,709,808","89,329","8,799,137",DEPARTMENT OF BANKING
Indirect Overhead,"86,862","204,330","291,192",DEPARTMENT OF BANKING
TOTAL-Banking Fund,"21,335,633","276,908","21,612,541",DEPARTMENT OF BANKING
TOTAL - ALL FUNDS,"21,335,633","276,908","21,612,541",DEPARTMENT OF BANKING
INSURANCE FUND,,,,INSURANCE  DEPARTMENT
Personal Services,"14,537,472","-595,000","13,942,472",INSURANCE  DEPARTMENT
Other Expenses,"1,899,807","-186,389","1,713,418",INSURANCE  DEPARTMENT
Equipment,"52,500",0,"52,500",INSURANCE  DEPARTMENT
Fringe Benefits,"11,510,498","-455,000","11,055,498",INSURANCE  DEPARTMENT
Indirect Overhead,"532,887","-66,147","466,740",INSURANCE  DEPARTMENT
TOTAL-Insurance Fund,"28,533,164","-1,302,536","27,230,628",INSURANCE  DEPARTMENT
TOTAL - ALL FUNDS,"28,533,164","-1,302,536","27,230,628",INSURANCE  DEPARTMENT
CONSUMER COUNSEL/PUBLIC UTILITY FUND,,,,OFFICE OF CONSUMER COUNSEL
Personal Services,"1,488,306","-124,853","1,363,453",OFFICE OF CONSUMER COUNSEL
Other Expenses,"502,907",0,"502,907",OFFICE OF CONSUMER COUNSEL
Equipment,"2,200",0,"2,200",OFFICE OF CONSUMER COUNSEL
Fringe Benefits,"1,221,728","-102,490","1,119,238",OFFICE OF CONSUMER COUNSEL
Indirect Overhead,"66,419","-66,319",100,OFFICE OF CONSUMER COUNSEL
TOTAL-Consumer Counsel/Public Utility Fund,"3,281,560","-293,662","2,987,898",OFFICE OF CONSUMER COUNSEL
TOTAL - ALL FUNDS,"3,281,560","-293,662","2,987,898",OFFICE OF CONSUMER COUNSEL
INSURANCE FUND,,,,OFFICE OF THE HEALTHCARE ADVOCATE
Personal Services,"2,488,457","-225,000","2,263,457",OFFICE OF THE HEALTHCARE ADVOCATE
Other Expenses,"2,691,767",0,"2,691,767",OFFICE OF THE HEALTHCARE ADVOCATE
Equipment,"15,000",0,"15,000",OFFICE OF THE HEALTHCARE ADVOCATE
Fringe Benefits,"2,256,227","-468,096","1,788,131",OFFICE OF THE HEALTHCARE ADVOCATE
Indirect Overhead,"142,055","-35,425","106,630",OFFICE OF THE HEALTHCARE ADVOCATE
TOTAL-Insurance Fund,"7,593,506","-728,521","6,864,985",OFFICE OF THE HEALTHCARE ADVOCATE
TOTAL - ALL FUNDS,"7,593,506","-728,521","6,864,985",OFFICE OF THE HEALTHCARE ADVOCATE
GENERAL FUND,,,,DEPARTMENT OF CONSUMER PROTECTION
Personal Services,"14,549,545","-2,051,218","12,498,327",DEPARTMENT OF CONSUMER PROTECTION
Other Expenses,"1,297,487","-482,125","815,362",DEPARTMENT OF CONSUMER PROTECTION
TOTAL-General Fund,"15,847,032","-2,533,343","13,313,689",DEPARTMENT OF CONSUMER PROTECTION
TOTAL - ALL FUNDS,"15,847,032","-2,533,343","13,313,689",DEPARTMENT OF CONSUMER PROTECTION
GENERAL FUND,,,,LABOR DEPARTMENT
Personal Services,"8,836,099","-288,360","8,547,739",LABOR DEPARTMENT
Other Expenses,"1,050,851","-85,508","965,343",LABOR DEPARTMENT
CETC Workforce,"658,845","-422,196","236,649",LABOR DEPARTMENT
Workforce Investment Act,"34,149,177","2,609,299","36,758,476",LABOR DEPARTMENT
Job Funnels Projects,"197,379","-197,379",0,LABOR DEPARTMENT
Connecticut's Youth Employment Program,"5,225,000","-5,225,000",0,LABOR DEPARTMENT
Jobs First Employment Services,"15,169,606","-1,400,178","13,769,428",LABOR DEPARTMENT
STRIDE,"438,033","-438,033",0,LABOR DEPARTMENT
Apprenticeship Program,"502,842","-37,500","465,342",LABOR DEPARTMENT
Spanish-American Merchants Association,"423,184","-423,184",0,LABOR DEPARTMENT
Connecticut Career Resource Network,"157,848","-42,740","115,108",LABOR DEPARTMENT
Incumbent Worker Training,"587,976","-587,976",0,LABOR DEPARTMENT
STRIVE,"200,456","-200,456",0,LABOR DEPARTMENT
Customized Services,"371,215","-371,215",0,LABOR DEPARTMENT
Opportunities for Long Term Unemployed,"2,370,261","-2,370,261",0,LABOR DEPARTMENT
Veterans’ Opportunity Pilot,"385,106","-31,553","353,553",LABOR DEPARTMENT
Second Chance Initiative,"1,330,750","-1,330,750",0,LABOR DEPARTMENT
Cradle To Career,"198,000","-198,000",0,LABOR DEPARTMENT
2Gen - TANF,"1,262,252","-1,262,252",0,LABOR DEPARTMENT
ConnectiCorps,"125,458","-125,458",0,LABOR DEPARTMENT
New Haven Jobs Funnel,"444,241","-444,241",0,LABOR DEPARTMENT
TOTAL-General Fund,"74,084,579","-12,872,941","61,211,638",LABOR DEPARTMENT
BANKING FUND,,,,LABOR DEPARTMENT
Opportunity Industrial Centers,"475,000",0,"475,000",LABOR DEPARTMENT
Individual Development Accounts,"190,000","-190,000",0,LABOR DEPARTMENT
Customized Services,"950,000",0,"950,000",LABOR DEPARTMENT
TOTAL-Banking Fund,"1,615,000","-190,000","1,425,000",LABOR DEPARTMENT
WORKERS' COMPENSATION FUND,,,,LABOR DEPARTMENT
Occupational Health Clinics,"687,148",0,"687,148",LABOR DEPARTMENT
TOTAL-Workers' Compensation Fund,"687,148",0,"687,148",LABOR DEPARTMENT
TOTAL - ALL FUNDS,"76,386,727","-13,062,941","63,323,786",LABOR DEPARTMENT
GENERAL FUND,,,,COMMISSION ON HUMAN RIGHTS AND OPPORTUNITIES
Personal Services,"6,409,092","-599,545","5,809,547",COMMISSION ON HUMAN RIGHTS AND OPPORTUNITIES
Other Expenses,"352,640","-68,211","284,429",COMMISSION ON HUMAN RIGHTS AND OPPORTUNITIES
"Martin Luther King, Jr. Commission","6,161","-6,161",0,COMMISSION ON HUMAN RIGHTS AND OPPORTUNITIES
TOTAL-General Fund,"6,767,893","-673,917","6,093,976",COMMISSION ON HUMAN RIGHTS AND OPPORTUNITIES
TOTAL - ALL FUNDS,"6,767,893","-673,917","6,093,976",COMMISSION ON HUMAN RIGHTS AND OPPORTUNITIES
GENERAL FUND,,,,DISABILITIES
Personal Services,"2,047,881","-2,047,881",0.0,DISABILITIES
Other Expenses,"178,760","-178,760",0.0,DISABILITIES
TOTAL-General Fund,"2,226,641","-2,226,641",0.0,DISABILITIES
TOTAL - ALL FUNDS,"2,226,641","-2,226,641",0.0,DISABILITIES
WORKERS' COMPENSATION FUND,,,,WORKERS' COMPENSATION COMMISSION
Personal Services,"10,240,361","-223,742","10,016,619",WORKERS' COMPENSATION COMMISSION
Other Expenses,"3,819,747","-1,708,078","2,111,669",WORKERS' COMPENSATION COMMISSION
Equipment,"41,000","-40,999",1,WORKERS' COMPENSATION COMMISSION
Fringe Benefits,"8,192,289","-172,300","8,019,989",WORKERS' COMPENSATION COMMISSION
Indirect Overhead,"398,322","-106,685","291,637",WORKERS' COMPENSATION COMMISSION
TOTAL-Workers' Compensation Fund,"22,691,719","-2,251,804","20,439,915",WORKERS' COMPENSATION COMMISSION
TOTAL - ALL FUNDS,"22,691,719","-2,251,804","20,439,915",WORKERS' COMPENSATION COMMISSION
GENERAL FUND,,,,DEPARTMENT OF AGRICULTURE
Personal Services,"3,742,495","-241,762","3,500,733",DEPARTMENT OF AGRICULTURE
Other Expenses,"687,038","-77,626","609,412",DEPARTMENT OF AGRICULTURE
Senior Food Vouchers,"361,280","-361,280",0,DEPARTMENT OF AGRICULTURE
Tuberculosis and Brucellosis Indemnity,100,-100,0,DEPARTMENT OF AGRICULTURE
WIC Coupon Program for Fresh Produce,"173,132","-5,194","167,938",DEPARTMENT OF AGRICULTURE
TOTAL-General Fund,"4,964,045","-685,962","4,278,083",DEPARTMENT OF AGRICULTURE
REGIONAL MARKET OPERATION FUND,,,,DEPARTMENT OF AGRICULTURE
Personal Services,"430,138",0,"430,138",DEPARTMENT OF AGRICULTURE
Other Expenses,"273,007",0,"273,007",DEPARTMENT OF AGRICULTURE
Fringe Benefits,"361,316",0,"361,316",DEPARTMENT OF AGRICULTURE
TOTAL-Regional Market Operation Fund,"1,064,461",0,"1,064,461",DEPARTMENT OF AGRICULTURE
TOTAL - ALL FUNDS,"6,028,506","-685,962","5,342,544",DEPARTMENT OF AGRICULTURE
GENERAL FUND,,,,DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
Personal Services,"28,697,939","-5,023,962","23,673,977",DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
Other Expenses,"2,957,606","-238,110","2,719,496",DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
Mosquito Control,"239,671","-51,092","188,579",DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
State Superfund Site Maintenance,"411,935","-12,358","399,577",DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
Laboratory Fees,"133,005","-57,005","76,000",DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
Dam Maintenance,"123,974","-1,239","122,735",DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
Emergency Spill Response,"6,006,921","-60,069","5,946,852",DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
Solid Waste Management,"3,164,792","-31,647","3,133,145",DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
Underground Storage Tank,"910,471","-270,556","639,915",DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
Clean Air,"3,965,552","-60,692","3,904,860",DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
Environmental Conservation,"8,261,232","-528,455","7,732,777",DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
Environmental Quality,"8,845,938","-1,147,693","7,698,245",DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
Greenways Account,2,-2,0,DEPARTMENT OF ENERGY AND ENVIRONMENTAL PROTECTION
