AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"609,998","-14,258","595,740"
Other Expenses,"119,190","-79,601","39,589"
TOTAL-General Fund,"729,188","-93,859","635,329"
TOTAL - ALL FUNDS,"729,188","-93,859","635,329"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Annualize FY 2017 Holdbacks and Rescissions,,,"-28,833"
• Adjust Funding to Reflect FY 2017 Expenditures Levels,,,"-65,026"
,,,
B-7,,,
,,,
ELECTIONS ENFORCEMENT COMMISSION,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Elections Enforcement Commission,"3,201,093","-175,523","3,025,570"
TOTAL-General Fund,"3,201,093","-175,523","3,025,570"
TOTAL - ALL FUNDS,"3,201,093","-175,523","3,025,570"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Annualize FY 2017 Holdbacks.,,,"-96,032"
,"To align budget growth with available resources, funding is reduced to reflect the continuation of allocated bottom-line lapses contained in Public Act 16-2 (May",,
Spec. Sess.).,,,
• Achieve Efficiencies in Agency Operations,,,"-100,000"
,Reflects FY 2017 expenditure levels in Personal Services and aligns funding with available resources in Other Expenses.,,
• Annualize Funding for Payroll Costs,,,"20,509"
,,,
B-8,,,
,,,
OFFICE OF STATE ETHICS,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Information Technology Initiatives,"29,098",-872,"28,226"
Office of State Ethics,"1,389,227","-15,698","1,373,529"
TOTAL-General Fund,"1,418,325","-16,570","1,401,755"
TOTAL - ALL FUNDS,"1,418,325","-16,570","1,401,755"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
,• Transfer Fiscal Support Position from the Department of Administrative Services to the Office of State Ethics,,"55,979"
• Achieve Efficiencies in Various Accounts,,,"-30,000"
,Reflects FY 2017 expenditure levels in Personal Services and aligns funding with available resources in Other Expenses.,,
• Annualize FY 2017 Holdbacks,,,"-42,549"
"To align budget growth with available resources, funding is reduced to reflect the continuation of allocated bottom-line lapses contained in Public Act 16-2 (May",,,
Spec. Sess.).,,,
,,,
B-9,,,
,,,
FREEDOM OF INFORMATION COMMISSION,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Freedom of Information Commission,"1,481,416","-17,940","1,463,476"
TOTAL-General Fund,"1,481,416","-17,940","1,463,476"
TOTAL - ALL FUNDS,"1,481,416","-17,940","1,463,476"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
,• Transfer Human Resources Support Position from the Department of Administrative Services to the Freedom of Information Commission,,"76,502"
• Annualize FY 2017 Holdbacks,,,"-44,442"
,"To align budget growth with available resources, funding is reduced to reflect the continuation of allocated bottom-line lapses contained in Public Act 16-2 (May",,
Spec. Sess.).,,,
• Achieve Efficiencies in Agency Operations,,,"-50,000"
Reflects FY 2017 expenditure levels in Personal Services and aligns funding with available resources in Other Expenses.,,,
,,,
B-10,,,
,,,
STATE TREASURER,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"3,034,513","-196,035","2,838,478"
Other Expenses,"143,722","-54,736","88,986"
TOTAL-General Fund,"3,178,235","-250,771","2,927,464"
TOTAL - ALL FUNDS,"3,178,235","-250,771","2,927,464"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Reduce Other Expenses Funding to Align with Available Resources,,,"-43,239"
• Annualize FY 2017 Holdbacks and Rescissions,,,"-102,532"
• Reduce Funding for Personal Services,,,"-105,000"
,,,
B-11,,,
,,,
STATE COMPTROLLER,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"23,464,017","-888,920","22,575,097"
Other Expenses,"4,746,238","-22,384","4,723,854"
TOTAL-General Fund,"28,210,255","-911,304","27,298,951"
TOTAL - ALL FUNDS,"28,210,255","-911,304","27,298,951"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Provide Funding for Software and Hardware Maintenance,,,"145,003"
• Annualize FY 2017 Holdbacks and Rescissions,,,"-1,031,307"
• Reduce Funding for Other Expenses,,,"-25,000"
,,,
B-12,,,
,,,
DEPARTMENT OF REVENUE SERVICES,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"57,419,820","-5,282,755","52,137,065"
Other Expenses,"6,776,492","-930,922","5,845,570"
TOTAL-General Fund,"64,196,312","-6,213,677","57,982,635"
TOTAL - ALL FUNDS,"64,196,312","-6,213,677","57,982,635"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Reduce Other Expenses Funding to Align with Available Resources,,,"-665,547"
• Fund Staffing Cost Through Master Settlement Account for Tobacco Enforcement,,,"-778,564"
• Annualize FY 2017 Holdbacks,,,"-1,925,888"
• Adjust Personal Services Funding to Reflect FY 2017 Expenditure Levels,,,"-2,843,678"
,,,
B-13,,,
,,,
OFFICE OF GOVERNMENTAL ACCOUNTABILITY,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Other Expenses,"50,045","-15,827","34,218"
Child Fatality Review Panel,"97,663","-2,929","94,734"
Contracting Standards Board,"274,435","-115,941","158,494"
Judicial Review Council,"135,335","-10,826","124,509"
Judicial Selection Commission,"84,636","-2,539","82,097"
Office of the Child Advocate,"649,545","-19,486","630,059"
Office of the Victim Advocate,"421,421","-33,713","387,708"
Board of Firearms Permit Examiners,"116,774","-9,340","107,434"
TOTAL-General Fund,"1,829,854","-210,601","1,619,253"
TOTAL - ALL FUNDS,"1,829,854","-210,601","1,619,253"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Annualize Cost of Two Positions at the State Contracting Standards Board,,,"5,413"
• Annualize FY 2017 Holdback,,,"-54,892"
,"To align budget growth with available resources, funding is reduced to reflect the continuation of allocated bottom-line lapses contained in Public Act 16-2 (May",,
Spec. Sess.).,,,
• Achieve Efficiencies in Various Accounts,,,"-161,122"
Reflect FY 2017 expenditure levels in Personal Services and align funding with available resources in Other Expenses. The savings include the elimination of a,,,
vacant Chief Procurement Officer position.,,,
,,,
B-14,,,
,,,
OFFICE OF POLICY AND MANAGEMENT,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"11,390,132","-1,120,569","10,269,563"
Other Expenses,"923,822","-137,551","786,271"
Automated Budget System and Data Base Link,"40,894","-40,894",0
Justice Assistance Grants,"938,648","-880,559","58,089"
Criminal Justice Information System,"920,048","1,472,792","2,392,840"
Project Longevity,"885,000","-885,000",0
Tax Relief For Elderly Renters,"27,300,000","-27,300,000",0
Reimbursement to Towns for Loss of Taxes on State Property,"66,730,441","-66,730,441",0
Reimbursements to Towns for Private Tax-Exempt Property,"114,950,770","-114,950,770",0
Reimbursement Property Tax - Disability Exemption,"374,065","-374,065",0
Distressed Municipalities,"5,423,986","-5,423,986",0
Property Tax Relief Elderly Circuit Breaker,"19,176,502","-19,176,502",0
Property Tax Relief Elderly Freeze Program,"112,221","-112,221",0
Property Tax Relief for Veterans,"2,777,546","-2,777,546",0
TOTAL-General Fund,"251,944,075","-238,437,312","13,506,763"
MUNICIPAL REVENUE SHARING,,,
Municipal Revenue Sharing,"185,000,000","-185,000,000",0
TOTAL-Municipal Revenue Sharing,"185,000,000","-185,000,000",0
INSURANCE FUND,,,
Personal Services,"313,882",0,"313,882"
Other Expenses,"6,012",0,"6,012"
Fringe Benefits,"200,882",0,"200,882"
TOTAL-Insurance Fund,"520,776",0,"520,776"
MASHANTUCKET PEQUOT AND MOHEGAN FUND,,,
Grants To Towns,"58,076,612","-58,076,612",0
TOTAL-Mashantucket Pequot and Mohegan Fund,"58,076,612","-58,076,612",0
TOTAL - ALL FUNDS,"495,541,463","-481,513,924","14,027,539"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Provide Funding for the Criminal Justice Information System,,,"1,500,393"
• Reduce Other Expenses Funding to Align with Available Resources,,,"-128,313"
• Adjust Personal Services Funding to Reflect FY 2017 Expenditure Levels,,,"-608,013"
• Eliminate Funding for Project Longevity,,,"-858,450"
• Adjusts Funding in Various Accounts,,,"-892,068"
,Eliminates funding in Automated Budget System and Data Base Link and reduces the funding for Justice Assistance Grants to fund salaries only.,,
• Annualize FY 2017 Holdbacks,,,"-1,442,806"
,,,
B-15,,,
,,,
• Eliminate Funding for the Renters Rebate Program,"-26,462,524",,
• Eliminate Funding for Municipal Aid,"-452,622,143",,
"Funding is eliminates for Reimbursement to Towns for Loss of Taxes on State Property, Reimbursement to Towns for Private Tax-Exempt Property,",,,
"Reimbursement Property Tax Disability Exemption, Distressed Municipalities, Property Tax Relief Elderly Circuit Breaker, Property Tax Relief Elderly Freeze",,,
"Program, Property Tax Relief for Veterans and Grants to Towns from Mashantucket Pequot and Mohegan Fund.  Statutes governing this aid specify that it is",,,
"""within available appropriations.""  In addition, funding for Payments to Local Governments from the Municipal Revenue Sharing Fund is eliminated because the",,,
implementing legislation reflects this as funded through an off-budget revenue intercept in FY 2018.,,,
,,,
B-16,,,
,,,
DEPARTMENT OF VETERANS AFFAIRS,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"21,375,366","-1,461,171","19,914,195"
Other Expenses,"3,150,761","-167,420","2,983,341"
SSMF Administration,"527,104","-5,271","521,833"
Burial Expenses,"6,666",-199,"6,467"
Headstones,"307,834","-57,834","250,000"
TOTAL-General Fund,"25,367,731","-1,691,895","23,675,836"
TOTAL - ALL FUNDS,"25,367,731","-1,691,895","23,675,836"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Annualize FY 2017 Holdbacks and Rescissions,,,"-811,809"
• Achieve Savings through Attrition,,,"-468,510"
• Annualize Savings From Electronic Medical Record Implementation,,,"-400,000"
• Reduce Funding for Other Expenses,,,"-11,576"
,,,
B-17,,,
,,,
DEPARTMENT OF ADMINISTRATIVE SERVICES,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"49,794,514","-5,293,454","44,501,060"
Other Expenses,"30,154,345","-6,841,090","23,313,255"
Management Services,"3,089,993","-17,199","3,072,794"
Loss Control Risk Management,"102,927","-10,293","92,634"
Employees' Review Board,"18,155",-544,"17,611"
Surety Bonds for State Officials and Employees,"65,026",923,"65,949"
Refunds Of Collections,"22,116",-663,"21,453"
Rents and Moving,"10,421,930","38,762","10,460,692"
W. C. Administrator,"4,480,774","519,226","5,000,000"
Connecticut Education Network,"1,100,000","-623,546","476,454"
State Insurance and Risk Mgmt Operations,"13,585,462","-1,292,637","12,292,825"
IT Services,"13,200,415","-901,401","12,299,014"
TOTAL-General Fund,"126,035,657","-14,421,916","111,613,741"
SPECIAL TRANSPORTATION FUND,,,
State Insurance and Risk Mgmt Operations,"8,960,575","177,665","9,138,240"
TOTAL-Special Transportation Fund,"8,960,575","177,665","9,138,240"
TOTAL - ALL FUNDS,"134,996,232","-14,244,251","120,751,981"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Provide Funding for the Workers' Compensation Third Party Administrator,,,"653,648"
• Provide Funds for Lease Costs in the Rents and Moving Account,,,"416,662"
• Annualize Costs of Occupancy at 450 Columbus,,,"337,229"
,Ten months funding was provided in FY 2017; this adjustment will annualize the full year costs of occupancy.,,
• Adjust Funding for Insurance and Risk Management in the Special Transportation Fund,,,"177,665"
• Provide Funds for Projected Property Tax Increases,,,"11,053"
• Provide Funds for State Employee Surety Bond Renewal in FY2019,,,"2,874"
• Adjust Personal Services Funding to Reflect FY 2017 Expenditure Levels,,,"-3,799,619"
• Adjust Statewide Security and Cleaning Contracts,,,"-3,420,427"
,This adjustment includes hourly wage increases and assumes a reduction in funding for security and cleaning services.,,
• Annualize FY 2017 Holdbacks,,,"-2,844,469"
,"To align budget growth with available resources, funding is reduced to reflect the continuation of allocated bottom-line lapses contained in Public Act 16-2 (May",,
Spec. Sess.).,,,
• Reduce Funds Due to Temporary Closure of 165 Capitol Ave,,,"-2,288,112"
• Adjust Funding for Insurance and Risk Management in the General Fund,,,"-1,156,783"
• Reduce Funding to Reflect Vacating of 25 Sigourney Street,,,"-945,394"
• Phase-out General Fund Support for the Connecticut Education Network,,,"-590,546"
"• Reduce Funds Due to Decreased Use for IT Storage, Back-up Services and Mainframe Services",,,"-505,389"
,,,
B-18,,,
,,,
"• Reduce Funds for Training, Travel and Other Discretionary Expenses","-205,752",,
• Reduce Funds Due to Termination of Lease,"-79,686",,
• Reduce Loss Control Account,"-7,205",,
,,,
B-19,,,
,,,
,ATTORNEY GENERAL,,
,,,
,AGENCY SUMMARY,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"31,369,385","-1,546,081","29,823,304"
Other Expenses,"998,871","-104,908","893,963"
TOTAL-General Fund,"32,368,256","-1,650,989","30,717,267"
TOTAL - ALL FUNDS,"32,368,256","-1,650,989","30,717,267"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Annualize FY 2017 Holdbacks,,,"-971,046"
• Adjust Funding to Reflect FY 2017 Expenditure Levels,,,"-679,943"
,,,
,B-20,,
,,,
DIVISION OF CRIMINAL JUSTICE,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"45,296,055","-2,400,000","42,896,055"
Other Expenses,"2,359,373","-343,593","2,015,780"
Witness Protection,"165,806","-1,658","164,148"
Training And Education,"52,044","-22,044","30,000"
Expert Witnesses,"191,757","-46,757","145,000"
Medicaid Fraud Control,"1,107,897","-151,078","956,819"
Criminal Justice Commission,444,-13,431
Cold Case Unit,"240,619","-55,406","185,213"
Shooting Taskforce,"1,044,948","-235,449","809,499"
TOTAL-General Fund,"50,458,943","-3,255,998","47,202,945"
WORKERS' COMPENSATION FUND,,,
Personal Services,"405,969","-36,000","369,969"
Other Expenses,"10,428",0,"10,428"
Fringe Benefits,"339,273","-33,000","306,273"
TOTAL-Workers' Compensation Fund,"755,670","-69,000","686,670"
TOTAL - ALL FUNDS,"51,214,613","-3,324,998","47,889,615"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Reflect Turnover Savings - Workers' Compensation Fund,,,"-69,000"
• Achieve Efficiencies in Various Accounts,,,"-1,508,834"
,Reflect FY 2017 expenditure levels in Personal Services and align funding with available resources in Other Expenses. The same adjustments are made to the,,
"Medicaid Fraud Control Unit, Cold Case Unit, and Shooting Taskforce accounts.",,,
• Annualize FY 2017 Holdback,,,"-1,747,164"
"To align budget growth with available resources, funding is reduced to reflect the continuation of allocated bottom-line lapses contained in Public Act 16-2 (May",,,
Spec. Sess.).,,,
,,,
B-21,,,
,,,
DEPARTMENT OF EMERGENCY SERVICES AND PUBLIC,,,
PROTECTION,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"136,557,561","7,094,209","143,651,770"
Other Expenses,"26,275,160","1,223,689","27,498,849"
Equipment,"86,580","-86,580",0
Stress Reduction,"25,354",0,"25,354"
Fleet Purchase,"6,394,806","-191,844","6,202,962"
Workers' Compensation Claims,"4,293,814","248,148","4,541,962"
Fire Training School - Willimantic,"76,900","-76,900",0
Maintenance of County Base Fire Radio Network,"22,368","-22,368",0
Maintenance of State-Wide Fire Radio Network,"14,887","-14,887",0
Police Association of Connecticut,"177,683","-5,330","172,353"
Connecticut State Firefighter's Association,"182,087","-5,462","176,625"
Fire Training School - Torrington,"46,150","-46,150",0
Fire Training School - New Haven,"30,000","-30,000",0
Fire Training School - Derby,"23,100","-23,100",0
Fire Training School - Wolcott,"53,830","-53,830",0
Fire Training School - Fairfield,"37,700","-37,700",0
Fire Training School - Hartford,"76,900","-76,900",0
Fire Training School - Middletown,"23,100","-23,100",0
Fire Training School - Stamford,"22,320","-22,320",0
TOTAL-General Fund,"174,420,300","7,849,575","182,269,875"
TOTAL - ALL FUNDS,"174,420,300","7,849,575","182,269,875"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Provide Funding for Wage Increases per the State Police Union Contract,,,"14,489,297"
• Provide Funds for Bulletproof Vest Replacement,,,"436,014"
• Provide Funding for Two Positions and Other Expenses Costs for the Body-worn Camera Program,,,"384,405"
• Annualize Projected Deficiency in Workers' Compensation Claims,,,"376,962"
• Provide Funds for Various Information Technology Programs and Maintenance Contracts,,,"361,110"
• Provide Funds for an Increase in Lab Supplies Due to Caseload Growth and New Techniques,,,"269,916"
• Annualize FY 2017 Holdbacks,,,"-4,904,640"
• Defer FY 2017 Trooper Class,,,"-3,000,000"
• Reduce Overtime,,,"-250,000"
• Eliminate Funding for the Fire Training Schools and Fire Radio Networks,,,"-216,139"
• Increase Fire Prevention and Control Course Tuition and Certification Testing Fees,,,"-130,000"
,,,
B-22,,,
,,,
• Reduce Funds for Educational Services and Fund with POST Municipal Training Funds,"-95,000",,
• Support Equipment Needs Through CEPF,"-83,983",,
• Phase-out of DESPP Fueling Sites and Associated Expenses,"-79,800",,
• Reduce Funds for Office Supplies,"-6,000",,
• Reduce Overtime through Utilization of the National Crime Information Center (NCIC) Peak Performance Project,"-140,767",,
,,,
B-23,,,
,,,
DEPARTMENT OF MOTOR VEHICLES,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
SPECIAL TRANSPORTATION FUND,,,
Personal Services,"49,296,260","1,130,076","50,426,336"
Other Expenses,"15,897,378",0,"15,897,378"
Equipment,"468,756",0,"468,756"
Commercial Vehicle Information Systems and Networks Project,"214,676",0,"214,676"
TOTAL-Special Transportation Fund,"65,877,070","1,130,076","67,007,146"
TOTAL - ALL FUNDS,"65,877,070","1,130,076","67,007,146"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Fund 22 Positions During FY 2018 for Compliance with the National Voter Registration Act of 1993,,,"825,110"
• Fund 6 Positions During FY 2018 for Drive-Only Program,,,"304,966"
,,,
B-24,,,
,,,
MILITARY DEPARTMENT,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
GENERAL FUND,,,
Personal Services,"2,863,407","-218,455","2,644,952"
Other Expenses,"2,242,356","-236,261","2,006,095"
Honor Guard,"326,329","-326,329",0
Veteran's Service Bonuses,"46,759","46,574","93,333"
TOTAL-General Fund,"5,478,851","-734,471","4,744,380"
TOTAL - ALL FUNDS,"5,478,851","-734,471","4,744,380"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Provide Additional Funds for Veteran's Service Bonuses to Reflect Anticipated Deployments,,,"47,041"
• Fund Honor Guard as Defined in Statute,,,"-316,539"
The state portion of the Honor Guard is operated within available appropriations.,,,
• Annualize FY 2017 Holdbacks,,,"-164,364"
,"To align budget growth with available resources, funding is reduced to reflect the continuation of allocated bottom-line lapses contained in Public Act 16-2 (May",,
Spec. Sess.).,,,
• Eliminate Funding for Governor's Horse Guards,,,"-118,555"
• Reduce Other Expenses Funding to Align with Available Resources,,,"-95,283"
• Adjust Personal Services Funding to Reflect FY 2017 Expenditure Levels,,,"-86,771"
,,,
B-25,,,
,,,
DEPARTMENT OF BANKING,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
BANKING FUND,,,
Personal Services,"11,025,073","-26,151","10,998,922"
Other Expenses,"1,468,990","9,400","1,478,390"
Equipment,"44,900",0,"44,900"
Fringe Benefits,"8,709,808","89,329","8,799,137"
Indirect Overhead,"86,862","204,330","291,192"
TOTAL-Banking Fund,"21,335,633","276,908","21,612,541"
TOTAL - ALL FUNDS,"21,335,633","276,908","21,612,541"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Provide Funding for Staff Previously Funded Through Carry forward,,,"427,282"
• Fund Indirect Overhead at Comptroller's Projected Amount,,,"204,330"
• Adjust Fringe Benefits to Reflect Actual Rates,,,"110,250"
• Eliminate Funding for One Durational Position,,,"-111,035"
• Reduce Funding for Vacant Positions,,,"-353,919"
,,,
B-26,,,
,,,
INSURANCE  DEPARTMENT,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
INSURANCE FUND,,,
Personal Services,"14,537,472","-595,000","13,942,472"
Other Expenses,"1,899,807","-186,389","1,713,418"
Equipment,"52,500",0,"52,500"
Fringe Benefits,"11,510,498","-455,000","11,055,498"
Indirect Overhead,"532,887","-66,147","466,740"
TOTAL-Insurance Fund,"28,533,164","-1,302,536","27,230,628"
TOTAL - ALL FUNDS,"28,533,164","-1,302,536","27,230,628"
,FUNDING ADJUSTMENTS,,
,,,FY 2018
• Fund Indirect Overhead at Comptroller's Projected Amount,,,"-66,147"
• Reduce Funding for Vacancies,,,"-1,050,000"
• Reduce Funds for Information Technology Contract with UConn,,,"-150,000"
• Reduce Funding for Rent,,,"-22,000"
• Reduce Funding for Other Expenses,,,"-14,389"
,,,
B-27,,,
,,,
OFFICE OF CONSUMER COUNSEL,,,
,,,
AGENCY SUMMARY,,,
,,,
,FY 2017,FY 2018,FY 2018
Financial Summary,Appropriated,Adjustment,Allocation
